SAMPLE ID,00_ctr-2,03_ctr-n3,14_ctr-6,83_ctr-n1,28_als-n1,30_als-n1,29_als-n1,52_als-n6
A1BG,4.3121,4.05842,3.80085,5.5769,3.46351,4.26213,3.30168,3.96776
A1BG-AS1,2.02934,0.428629,2.12189,1.78832,1.82886,0.9839,1.77321,1.43279
A1CF,0.012644,0.00912768,0.00363027,0,0,0.00266105,0.00388256,0.00600042
A2M,64.2731,5.1174,53.9204,56.9353,9.16038,2.71776,21.935,16.553
A2M-AS1,1.13916,0.0130586,1.71603,0.177816,2.59296,0.0808568,1.39493,0.602841
A2ML1,0.283965,0.0919839,0.0564711,0.118209,0.449342,0.189312,0.228227,0.18188
A2MP1,0.0245801,0.0236591,0,0,0,0.0206925,0,0
A4GALT,1.35468,0.0950775,0.340329,1.21841,0.432232,0.213829,0.779957,0.254475
A4GNT,0.0500069,0,0,0.0359812,0,0.0140326,0,0
AAAS,32.13,22.046,24.7002,22.5446,26.8275,21.4158,28.638,29.1654
AACS,7.68908,11.6448,9.23891,9.54592,8.53957,4.52733,8.41793,8.96003
AACSP1,0.230949,0.0392286,0.187224,1.61286,0.0756582,0,0.13349,0.0773651
AADAC,0,0,0,0,0.0255924,0,0.0225774,0
AADACL4,0,0,0,0.0404588,0.0260961,0.0157789,0.0230218,0
AADAT,8.51711,4.89663,8.18872,5.40074,9.04248,6.37148,8.67074,9.9181
AAED1,2.19297,1.83245,1.79895,1.61257,1.64405,1.56211,1.24318,1.66971
AAGAB,20.0264,10.3871,18.8166,14.9955,18.492,9.96688,18.3145,19.2637
AAK1,2.95031,4.18714,3.17623,3.0078,3.23493,5.12478,2.81863,3.11941
AAMP,41.4245,36.1482,41.618,39.4135,48.5285,37.0766,45.3191,50.6312
AANAT,0.230181,0.332334,0.330441,0.627032,0.240359,0.242219,0.708841,0.413474
AAR2,14.8106,7.75041,15.6644,14.1312,17.189,10.6373,15.6297,16.2271
AARD,0.135903,0.113631,0.444329,0.324706,0.351762,0.32082,0.347834,0.16106
AARS,65.2034,86.9177,55.8328,69.4203,62.0453,96.0179,54.5083,63.4367
AARS2,6.13659,2.4318,4.60663,4.79467,6.64805,3.56695,6.00431,6.01902
AARSD1,16.1669,20.3231,18.0694,14.0831,19.1951,14.1612,17.1933,19.9395
AASDH,5.17297,2.46563,3.47506,4.11576,4.06281,3.4336,4.58206,4.02858
AASDHPPT,27.9634,17.4809,38.0641,21.8196,36.2003,24.6717,35.3871,37.8071
AASS,12.0037,2.44602,3.76801,5.66142,4.57996,3.2093,5.03286,3.60901
AATF,19.4553,19.2041,19.4298,15.5958,19.562,17.6666,23.0326,21.083
AATK,3.47183,2.5363,4.6619,2.38419,4.56492,4.00025,4.87385,2.97376
AATK-AS1,0.149756,0.0360363,0.107493,0.121223,0.104252,0.0472765,0.160948,0.0710693
ABAT,99.7339,73.8642,111.393,52.7892,105.009,92.391,98.5344,94.9733
ABCA1,11.7779,6.97783,6.44039,6.50454,5.22866,9.23597,4.04301,5.6401
ABCA10,0.107839,0.0269837,0.0645713,0.0607406,0.0652396,0.0592458,0.0808785,0.102415
ABCA11P,4.13148,2.18803,3.28209,3.43728,3.9196,2.4904,3.24349,3.52958
ABCA12,0.0292005,0.0468464,0.104798,0.0669708,0.147485,0.0614552,0.0758557,0.0554302
ABCA13,0.124019,0.0382014,0.127465,0.0593764,0.0877897,0.0579845,0.0912131,0.0491076
ABCA17P,0.0706546,0.0408082,0.08116,0.1828,0.137705,0.0475983,0.095388,0.0670058
ABCA2,16.6665,14.1716,17.9267,16.0315,15.8534,22.3067,15.6812,12.4991
ABCA3,17.9584,13.8576,28.5128,19.3004,26.2195,22.3601,21.7895,21.7874
ABCA4,0.0322411,0.0232747,0.0185137,0.108742,0.0168333,0.0407127,0.00495008,0.0153005
ABCA5,2.29269,0.890849,1.398,1.05003,1.8975,1.84904,1.36072,1.12208
ABCA6,0.0111483,0,0,0.00601611,0,0.00469254,0.00684655,0.0105812
ABCA7,3.50716,4.75521,3.47088,2.21038,3.18297,6.45167,3.51532,2.31369
ABCA8,0.407716,0.208639,0.669766,0.155964,0.539955,0.0999281,0.876991,0.768679
ABCA9,0.26379,0.414614,0.298842,0.219084,0.215359,0.373265,0.243794,0.210954
ABCB1,1.9454,0.230315,1.35418,0.870098,0.546261,1.01222,0.210326,0.362947
ABCB10,3.12275,1.68705,4.11374,4.01467,3.67642,2.40978,3.70396,4.78002
ABCB11,0.00618235,0,0.00710015,0.0133451,0.0172152,0.0312273,0.0151872,0
ABCB4,0.934783,0.145577,0.474348,0.232879,0.258997,0.239921,0.0999966,0.169609
ABCB5,0.128077,0.0883453,0.143292,0.146962,0.0795724,0.145011,0.114419,0.0510432
ABCB6,20.0326,11.2698,13.3344,18.7811,19.6654,13.1175,15.5826,16.0799
ABCB7,9.21364,14.6894,6.32046,6.68727,6.80144,10.0885,7.06351,7.28942
ABCB8,7.05396,3.28864,6.20437,4.78294,6.35434,4.55853,5.79933,5.31303
ABCB9,2.95952,3.43,4.32891,3.31171,4.78297,3.54313,3.75095,4.00579
ABCC1,9.28848,4.58062,7.60407,9.22391,7.40237,5.55121,7.40877,6.15199
ABCC10,5.68588,3.43237,4.21903,4.0572,4.70122,4.3645,4.18464,3.76927
ABCC11,0.141579,0.068137,0.14343,0.070943,0.146427,0.0553353,0.0645886,0.244236
ABCC12,0,0.00549818,0,0.00616512,0,0,0,0.00542165
ABCC13,0.0107533,0.0101553,0,0.0113167,6.84E-09,7.65E-34,0,0
ABCC2,0.0818235,0.202519,0.073834,0.0630792,0.0650981,0.142684,0.0789651,0.105397
ABCC3,0.017157,0.0789771,0.0719432,0.0845128,0.00795612,0.00481063,0.0772073,0.0696386
ABCC4,5.45867,1.065,1.67688,4.52049,1.89888,0.959783,2.40666,2.06203
ABCC5,9.0043,13.2615,8.83019,4.92208,9.74579,13.8863,9.01298,9.83959
ABCC5-AS1,0,0.0605855,0,0,0,0,0,0
