control,low,middle,high
3.53,2.42,2.86,0.89
4.59,3.36,2.28,1.06
4.34,4.32,2.39,1.08
2.66,2.34,2.28,1.27
3.59,2.68,2.48,1.63
3.13,2.95,2.28,1.89
2.64,1.56,3.21,1.19
2.56,3.11,2.23,2.17
3.5,1.81,2.32,2.28
3.25,1.77,2.68,1.72
3.3,1.98,2.66,1.98
4.04,2.63,2.32,1.74
3.53,2.86,2.61,2.16
3.56,2.93,3.64,3.37
3.85,2.17,2.58,2.97
4.07,2.72,3.65,1.69
3.52,2.65,2.66,0.94
3.93,2.22,3.68,2.11
4.19,2.9,2.65,2.81
2.96,2.97,3.02,2.52
1.37,2.36,3.48,1.31
3.93,2.56,2.42,2.51
2.33,2.52,2.41,1.88
2.98,2.27,2.66,1.41
4,2.98,3.29,3.19
3.55,3.72,2.7,1.92
2.96,2.8,3.04,2.47
4.3,3.57,2.81,1.02
4.16,4.02,1.97,2.1
2.59,2.31,1.68,3.71
