no,x1,x2,x3,x4,x5,x6
1,120.1,66.3,23.8,61,27.3,1210
2,120.7,67.6,23.4,59.8,27.1,1210
3,121.2,66.5,22.9,59,26,1040
4,121.5,67.8,24.6,59.5,26.4,1620
5,122.5,69.2,24.4,60.7,26.4,1690
6,122.7,69.1,27.2,64.5,28.4,1150
7,123.2,64.3,20,56.1,26.1,1150
8,123.3,69,24.9,58.4,27.2,1460
9,123.4,67.4,21.8,59,27.1,1190
10,123.9,67.1,23.5,60.2,28.4,1840
11,124.5,67.8,25.2,63,27.8,1250
12,124.8,67.9,22.3,58.1,27.3,1480
13,124.9,67.8,22,58,26.8,1310
14,125.3,69.3,24.7,60,28,1660
15,125.6,69.1,22.8,59,26.5,1580
16,125.8,69.6,25.7,61,27,1460
17,126,67.1,30.2,68,28.8,1240
18,126.2,68.4,25.2,60.5,27.2,1100
19,126.8,67.5,23.6,58.5,27.4,1250
20,127.1,69.8,23,57.7,27.8,1270
21,127.6,67.9,24.3,59,28.4,1300
22,127.7,69.7,24.1,60,27.7,1350
23,128.3,68.5,21.6,55.5,27,1250
24,128.5,71.2,27.1,62,27.5,1720
25,128.5,67.3,22.6,57.4,28.3,1480
26,129.4,69.8,24.9,60.5,27.6,1380
27,129,67.4,26.7,63.7,29.8,1170
28,129.8,71,26.1,62,28.4,1640
29,131.6,70.7,28.7,62.8,28.9,1640
30,130.2,71.8,25,58.6,27.8,1150
31,130.5,68.6,26.1,60.7,27.7,1430
32,130.6,69.2,23.4,54.4,27.8,1150
33,131.4,70.4,25.5,63.2,28.4,1150
34,131.6,70.2,25.6,58.9,28.6,1320
35,131.7,73.5,27.4,62,27,1360
36,132,71.2,26.3,61.5,25.3,1460
37,132.2,70.1,25.7,61.4,28.3,1380
38,132.5,71.8,24.5,57,28.4,1300
39,132.7,72.2,27,61.3,28,1220
40,132.9,73.1,25.2,60.5,27.3,1320
41,133.1,75.1,30.1,67,29.7,1910
42,133.5,71.7,26.5,62.5,28.2,1800
43,133.6,72.2,24.8,58.5,27.9,1560
44,134,73,26,60.5,27.4,1840
45,134.3,75.2,28.2,62,30.3,1470
46,134.4,69.9,25.5,60.7,28.1,1590
47,134.1,72.2,26.6,63,29,1430
48,134.6,75.4,32.5,66,29.8,1760
49,135.3,93.3,27.9,61.8,27.8,1470
50,135.6,73.1,28.1,65.8,28.9,1580
51,136.5,72.9,28.2,62,29.2,1580
52,137.1,72.4,27.6,62.8,29.1,1840
53,137.4,74.2,28.3,62.5,30,1810
54,138.1,72.3,29.5,62.4,30.2,1850
55,140,75.9,34.9,68.8,31.5,2120
56,140.7,74,32,64.4,30.5,1760
57,141,76.2,32.5,63.8,30.8,1800
58,141.7,76.2,29.1,65,29,1260
59,142.4,77.6,19.3,70,30.6,1860
60,144.7,74.8,27,58.3,28.2,1800
61,136.8,72.2,26.3,61.4,29.3,1470
62,121.1,66.3,22.9,59,27.6,1260
63,132.7,73.6,25.3,58.6,27.8,1570
64,125,68.8,25.7,60.5,26.9,1290
65,133.2,71.7,27.3,60.7,28.5,1580
66,132.8,72.9,28.6,64.7,30.8,1690
67,131.6,69.8,25.4,59.7,27.6,1670
68,133.1,69.7,25.9,58,28.3,1300
69,134,70.8,25.8,59.6,28.8,1610
70,134.3,72.2,26.3,61.2,28.4,1580
71,129.1,72.9,27.7,62.2,29.3,1570
72,140.1,75.1,32.1,67,30.3,1660
73,132.6,72.5,27.9,62,28.1,1040
74,128.3,69,23.6,58.5,27.6,1290
75,145.8,77.7,34.5,68,32.5,1980
76,133.3,71,25.6,61.5,28.2,1210
77,134.3,73.2,25.6,61,28.3,1300
78,138.1,73.5,27.8,61.2,27.8,1310
79,135.6,72.8,25.9,59.6,29.1,1590
80,128.3,69.2,24.1,58.5,27.7,1270
81,129.7,69.4,24.7,61.7,28,1310
82,143.6,76.8,37.6,70,31.8,2280
83,136.6,75.1,32.3,67.2,30.4,1580
84,147.4,78.7,38.8,73,33.8,2370
